Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,merge,Long Statement,The length of the statement "return new DefaultIdPart(cayenneId.getName()`cayenneId.getType()`annotatedId.isReadable()`annotatedId.isWritable()`cayenneId.getDataReader());" is 142.,269
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,merge,Long Statement,The length of the statement "return new DefaultAttribute(cayenneAttribute.getName()`cayenneAttribute.getType()`annotatedAttribute.isReadable()`annotatedAttribute.isWritable()`cayenneAttribute.getDataReader());" is 180.,282
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,merge,Long Statement,The length of the statement "return new DefaultRelationship(cayenneRelationship.getName()`cayenneRelationship.getTargetEntity()`cayenneRelationship.isToMany()`annotatedRelationship.isReadable()`annotatedRelationship.isWritable()`cayenneRelationship.getDataResolver());" is 239.,295
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,buildEntity,Long Statement,The length of the statement "return new DefaultEntity<>(cayenneEntity.getName()`type`cayenneEntity.isAbstract()`subEntities`ids`attributes`relationships`dataResolver != null ? dataResolver : ThrowingRootDataResolver.getInstance()`ReadFilter.allowsAllFilter()`CreateAuthorizer.allowsAllFilter()`UpdateAuthorizer.allowsAllFilter()`DeleteAuthorizer.allowsAllFilter());" is 336.,310
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,of,Long Statement,The length of the statement "throw AgException.internalServerError("Entity '%s': unsupported combination of @AgId-annotated properties - %s (both 'objectId' and custom properties)"`entityName`annotatedIds.stream().map(AgIdPart::getName).collect(Collectors.joining("`")));" is 242.,367
agrest,io.agrest.cayenne.compiler,CayenneAgEntityCompiler,createDefaultRelatedResolver,Long Statement,The length of the statement "return new ContextualCayenneRelatedDataResolver<>(new ViaQueryWithParentExpResolver(queryAssembler`cayennePersister)`new ViaQueryWithParentIdsResolver<>(queryAssembler`cayennePersister));" is 187.,64
agrest,io.agrest.cayenne.compiler,CayenneAgEntityCompiler,doCompile,Long Statement,The length of the statement "return new CayenneAgEntityBuilder<>(type`schema`cayenneEntityResolver).overlays(entityOverlays).dataResolver((RootDataResolver<T>)defaultRootResolver).relatedDataResolver((RelatedDataResolver<T>)defaultRelatedDataResolver).build();" is 231.,74
agrest,io.agrest.cayenne.compiler,CayenneCompiler_InheritanceIT,getAttributes_Super,Long Statement,The length of the statement "String as=getAgEntity(Ie1Super.class).getAttributes().stream().map(AgAttribute::getName).sorted().collect(Collectors.joining("`"));" is 131.,41
agrest,io.agrest.cayenne.compiler,CayenneCompiler_InheritanceIT,getSubEntities_Super,Long Statement,The length of the statement "String es1=getAgEntity(Ie1Super.class).getSubEntities().stream().map(AgEntity::getName).sorted().collect(Collectors.joining("`"));" is 130.,60
agrest,io.agrest.cayenne.compiler,CayenneCompiler_InheritanceIT,getSubEntities_Super,Long Statement,The length of the statement "String es2=getAgEntity(Ie1Sub1.class).getSubEntities().stream().map(AgEntity::getName).sorted().collect(Collectors.joining("`"));" is 129.,60
agrest,io.agrest.cayenne.compiler,CayenneCompiler_Inheritance_AnnotatedIT,aie1Super,Long Statement,The length of the statement "String attributes=e.getAttributes().stream().sorted(Comparator.comparing(AgAttribute::getName)).map(AgAttribute::getName).collect(Collectors.joining("`"));" is 155.,20
agrest,io.agrest.cayenne.compiler,CayenneCompiler_Inheritance_AnnotatedIT,aie1Super,Long Statement,The length of the statement "String readables=e.getAttributes().stream().sorted(Comparator.comparing(AgAttribute::getName)).map(AgAttribute::isReadable).map(String::valueOf).collect(Collectors.joining("`"));" is 178.,20
agrest,io.agrest.cayenne.compiler,CayenneCompiler_Inheritance_AnnotatedIT,aie1Sub2,Long Statement,The length of the statement "String attributes=sub2.getAttributes().stream().sorted(Comparator.comparing(AgAttribute::getName)).map(AgAttribute::getName).collect(Collectors.joining("`"));" is 158.,38
agrest,io.agrest.cayenne.compiler,CayenneCompiler_Inheritance_AnnotatedIT,aie1Sub2,Long Statement,The length of the statement "String readables=sub2.getAttributes().stream().sorted(Comparator.comparing(AgAttribute::getName)).map(AgAttribute::isReadable).map(String::valueOf).collect(Collectors.joining("`"));" is 181.,38
agrest,io.agrest.cayenne.compiler,CayenneCompiler_Inheritance_AnnotatedIT,aie1Sub1,Long Statement,The length of the statement "String attributes=sub1.getAttributes().stream().sorted(Comparator.comparing(AgAttribute::getName)).map(AgAttribute::getName).collect(Collectors.joining("`"));" is 158.,56
agrest,io.agrest.cayenne.compiler,CayenneCompiler_Inheritance_AnnotatedIT,aie1Sub1,Long Statement,The length of the statement "String relationships=sub1.getRelationships().stream().sorted(Comparator.comparing(AgRelationship::getName)).map(AgRelationship::getName).sorted().collect(Collectors.joining("`"));" is 179.,56
agrest,io.agrest.cayenne.compiler,CayenneCompiler_Inheritance_AnnotatedIT,aie1Sub1,Long Statement,The length of the statement "String attributesReadable=sub1.getAttributes().stream().sorted(Comparator.comparing(AgAttribute::getName)).map(AgAttribute::isReadable).map(String::valueOf).collect(Collectors.joining("`"));" is 190.,56
agrest,io.agrest.cayenne.compiler,CayenneCompiler_Inheritance_AnnotatedIT,aie1Sub1Sub1,Long Statement,The length of the statement "String attributes=sub1Sub1.getAttributes().stream().sorted(Comparator.comparing(AgAttribute::getName)).map(AgAttribute::getName).collect(Collectors.joining("`"));" is 162.,82
agrest,io.agrest.cayenne.compiler,CayenneCompiler_Inheritance_AnnotatedIT,aie1Sub1Sub1,Long Statement,The length of the statement "String readables=sub1Sub1.getAttributes().stream().sorted(Comparator.comparing(AgAttribute::getName)).map(AgAttribute::isReadable).map(String::valueOf).collect(Collectors.joining("`"));" is 185.,82
agrest,io.agrest.cayenne.encoder,EncoderFactoryTest,before,Long Statement,The length of the statement "IEncodablePropertyFactory epf=new EncodablePropertyFactory(new ValueEncodersProvider(converters`Collections.emptyMap()).get());" is 127.,44
agrest,io.agrest.cayenne.encoder,EncoderFactoryTest,getRootEncoder_ExcludedAttributes,Magic Number,The method contains a magic number: 777,57
agrest,io.agrest.cayenne.encoder,EncoderFactoryTest,getRootEncoder_ExcludedAttributes,Magic Number,The method contains a magic number: 30,57
agrest,io.agrest.cayenne.encoder,EncoderFactoryTest,getRootEncoder_ExcludedRelationshipAttributes,Long Statement,The length of the statement "assertEquals("{\"data\":[{\"id\":7`\"e3s\":[{\"id\":5`\"name\":\"31\"}`{\"id\":6`\"name\":\"32\"}]}]`\"total\":1}"`toJson(e2`re));" is 130.,72
agrest,io.agrest.cayenne.encoder,EncoderFactoryTest,getRootEncoder_ExcludedRelationshipAttributes,Magic Number,The method contains a magic number: 7,72
agrest,io.agrest.cayenne.encoder,EncoderFactoryTest,getRootEncoder_ExcludedRelationshipAttributes,Magic Number,The method contains a magic number: 5,72
agrest,io.agrest.cayenne.encoder,EncoderFactoryTest,getRootEncoder_ExcludedRelationshipAttributes,Magic Number,The method contains a magic number: 6,72
agrest,io.agrest.cayenne.encoder,EncoderFactoryTest,getRootEncoder_ExcludedRelationshipAttributes,Magic Number,The method contains a magic number: 7,72
agrest,io.agrest.cayenne.encoder,EncoderFactoryTest,getRootEncoder_ExcludedRelationshipAttributes,Magic Number,The method contains a magic number: 7,72
agrest,io.agrest.cayenne.encoder,EncoderFactoryTest,toJson,Magic Number,The method contains a magic number: 200,130
agrest,io.agrest.cayenne.exp,CayenneExpressionVisitor,addToLikeNode,Magic Number,The method contains a magic number: 2,335
agrest,io.agrest.cayenne.exp,CayenneExpParserTest,parseKeyValue_Eq,Magic Number,The method contains a magic number: 5,36
agrest,io.agrest.cayenne.exp,CayenneExpParserTest,parseKeyValue_Eq_Date,Magic Number,The method contains a magic number: 1999,42
agrest,io.agrest.cayenne.exp,CayenneExpParserTest,parseKeyValue_Eq_Date,Magic Number,The method contains a magic number: 8,42
agrest,io.agrest.cayenne.exp,CayenneExpParserTest,parseKeyValue_Eq_Date,Magic Number,The method contains a magic number: 7,42
agrest,io.agrest.cayenne.exp,CayenneExpParserTest,parseKeyValue_In,Magic Number,The method contains a magic number: 5,56
agrest,io.agrest.cayenne.exp,CayenneExpParserTest,parseKeyValue_In,Magic Number,The method contains a magic number: 6,56
agrest,io.agrest.cayenne.exp,CayenneExpParserTest,parseKeyValue_In,Magic Number,The method contains a magic number: 7,56
agrest,io.agrest.cayenne.exp,CayenneExpParserTest,parseKeyValue_DB_Path_Eq,Magic Number,The method contains a magic number: 5,68
agrest,io.agrest.cayenne.exp,CayenneExpressionVisitorTest,visit_checkReturnedType,Long Statement,The length of the statement "List<Arguments> argsList=List.of(Arguments.of("abs(1)"`ASTAbs.class)`Arguments.of("1 + 2"`ASTAdd.class)`Arguments.of("t.isA = true and t.isB = true"`ASTAnd.class)`Arguments.of("t.value between 10 and 20"`ASTBetween.class)`Arguments.of("0xFF & 0x01"`ASTBitwiseAnd.class)`Arguments.of("0xFF << 2"`ASTBitwiseLeftShift.class)`Arguments.of("~0xA7"`ASTBitwiseNot.class)`Arguments.of("0xFF | 0x01"`ASTBitwiseOr.class)`Arguments.of("0xFF >> 2"`ASTBitwiseRightShift.class)`Arguments.of("0xFF ^ 0x01"`ASTBitwiseXor.class)`Arguments.of("concat(t.v` '10')"`ASTConcat.class)`Arguments.of("currentDate()"`ASTCurrentDate.class)`Arguments.of("currentTime()"`ASTCurrentTime.class)`Arguments.of("currentTimestamp()"`ASTCurrentTimestamp.class)`Arguments.of("t.value / 2"`ASTDivide.class)`Arguments.of("t.v1 = t.v2"`ASTEqual.class)`Arguments.of("day(t.dateTime)"`ASTExtract.class)`Arguments.of("false"`ASTFalse.class)`Arguments.of("t.v > 0"`ASTGreater.class)`Arguments.of("t.v >= 0"`ASTGreaterOrEqual.class)`Arguments.of("t.v in (0` 5)"`ASTIn.class)`Arguments.of("length(a.v)"`ASTLength.class)`Arguments.of("t.v < 0"`ASTLess.class)`Arguments.of("t.v <= 0"`ASTLessOrEqual.class)`Arguments.of("t.name like '%s'"`ASTLike.class)`Arguments.of("t.name likeIgnoreCase '%s'"`ASTLikeIgnoreCase.class)`Arguments.of("locate(t.v` 'id')"`ASTLocate.class)`Arguments.of("lower(t.v)"`ASTLower.class)`Arguments.of("mod(t.v` 10)"`ASTMod.class)`Arguments.of("1 * 4"`ASTMultiply.class)`Arguments.of("$a"`ASTNamedParameter.class)`Arguments.of("-a.v"`ASTNegate.class)`Arguments.of("!(t.a = 1 and t.b = 3)"`ASTNot.class)`Arguments.of("t.value !between 10 and 20"`ASTNotBetween.class)`Arguments.of("t.v1 != t.v2"`ASTNotEqual.class)`Arguments.of("t.v !in (0` 5)"`ASTNotIn.class)`Arguments.of("t.name !like '%s'"`ASTNotLike.class)`Arguments.of("t.name !likeIgnoreCase '%s'"`ASTNotLikeIgnoreCase.class)`Arguments.of("a.v"`ASTObjPath.class)`Arguments.of("t.isA = true or t.isB = true"`ASTOr.class)`Arguments.of("1.2"`ASTScalar.class)`Arguments.of("1"`ASTScalar.class)`Arguments.of("null"`ASTScalar.class)`Arguments.of("'value'"`ASTScalar.class)`Arguments.of("sqrt(2)"`ASTSqrt.class)`Arguments.of("substring(a.v` 3)"`ASTSubstring.class)`Arguments.of("3 - 1"`ASTSubtract.class)`Arguments.of("trim(a.v)"`ASTTrim.class)`Arguments.of("true"`ASTTrue.class)`Arguments.of("upper(t.v)"`ASTUpper.class));" is 2346.,44
agrest,io.agrest.cayenne.exp,CayenneExpressionVisitorTest,setEscapeChar,Long Statement,The length of the statement "return Stream.of("a like 'bcd' escape '$'"`"a likeIgnoreCase 'bcd' escape '$'"`"a not like 'bcd' escape '$'"`"a not likeIgnoreCase 'bcd' escape '$'").map(AgExpressionParser::parse).map(Arguments::of).collect(Collectors.toList());" is 229.,114
agrest,io.agrest.cayenne.path,EntityPathCache,computePathDescriptor,Long Statement,The length of the statement "return a.isPrimaryKey() ? new PathDescriptor(a.getType()`new ASTDbPath(a.getDbAttributePath())`true) : new PathDescriptor(a.getType()`new ASTObjPath(agPath)`true);" is 163.,47
agrest,io.agrest.cayenne.path,EntityPathCache,lastPathComponent,Complex Method,Cyclomatic complexity of the method is 9,67
agrest,io.agrest.cayenne.path,PathOps,parsePath,Long Statement,The length of the statement "return path.startsWith(ASTDbPath.DB_PREFIX) ? new ASTDbPath(path.substring(ASTDbPath.DB_PREFIX.length())) : new ASTObjPath(path);" is 129.,19
agrest,io.agrest.cayenne.path,PathOps,resolveAsDbPath,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@4fffa923,31
agrest,io.agrest.cayenne.path,PathOps,concat,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@5fc7d781,46
agrest,io.agrest.cayenne.path,PathOps,concatWithDbPath,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2e018b95,61
agrest,io.agrest.cayenne.path,PathOps,concatWithObjPath,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@caacce8,77
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,createRootQuery,Long Statement,The length of the statement "ObjectSelect<T> query=context.getId() != null ? createRootIdQuery(context.getEntity()`context.getId()) : createBaseQuery(context.getEntity());" is 142.,63
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,createRootQuery,Long Statement,The length of the statement "query.and(CayenneUtil.parentQualifier(pathResolver`context.getSchema().getEntity(parent.getType())`parent`entityResolver));" is 123.,63
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,findRelationship,Long Statement,The length of the statement "throw new IllegalStateException("ObjRelationship '" + name + "' is not found in '"+ entity.getName()+ "' or in its inheritance hierarchy");" is 139.,122
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,findRelationshipInHierarchy,Long Statement,The length of the statement "return entityResolver.getInheritanceTree(parentObjEntity.getName()).allSubEntities().stream().filter(e -> e != parentObjEntity).map(e -> e.getRelationship(name)).findFirst().orElse(null);" is 187.,138
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,resolveParentQualifier,Long Statement,The length of the statement "throw AgException.internalServerError("Parent '%s' of entity '%s' is not managed by Cayenne"`parent.getName()`entity.getName());" is 128.,149
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,resolveParentQualifier,Long Statement,The length of the statement "throw new IllegalStateException("Can't fetch child using parent expression strategy. Root entity '" + parent.getName() + "' has no SelectQuery of its own. DB path to child: "+ fullDbPath);" is 188.,149
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,objRelationshipInInheritanceHierarchy,Long Statement,The length of the statement "throw new IllegalStateException("No such relationship in entity or sub-entities: " + e.getName() + "."+ relationshipName);" is 122.,200
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,createQueryWithParentIdsQualifier,Long Statement,The length of the statement "consumeRange(parentData`entity.getParent().getStart()`entity.getParent().getLimit()`p -> qualifiers.add(ExpressionFactory.matchDbExp(reversePath`p)));" is 150.,224
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,buildIdQualifier,Long Statement,The length of the statement "throw AgException.badRequest("Failed to build a Cayenne qualifier for entity %s: one of the entity's ID parts is missing in this ID: %s"`entity.getName()`idAttribute.getName());" is 177.,318
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,toOrdering,Long Statement,The length of the statement "return new Ordering(pathResolver.resolve(entity.getAgEntity().getName()`sort.getPath()).getPathExp()`toSortOrder(sort.getDirection()));" is 135.,341
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,toSortOrder,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@3e2ecaef,347
agrest,io.agrest.cayenne.processor,CayenneUtil,toObjectId,Magic Number,The method contains a magic number: 2,34
agrest,io.agrest.cayenne.processor,CayenneUtil,parentQualifier,Long Statement,The length of the statement "throw AgException.badRequest("Failed to build Cayenne qualifier for a by-parent relationship '%s' - one of the parent ID parts is missing: %s"`parent.getRelationship()`p.getName());" is 181.,110
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_Ordering,Long Statement,The length of the statement "SelectContext<E1> c=new SelectContext<>(E1.class`new RequestSchema(mock(AgSchema.class))`mock(AgRequestBuilder.class)`PathChecker.ofDefault()`mock(Injector.class));" is 164.,25
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_Pagination,Long Statement,The length of the statement "SelectContext<E1> c=new SelectContext<>(E1.class`new RequestSchema(mock(AgSchema.class))`mock(AgRequestBuilder.class)`PathChecker.ofDefault()`mock(Injector.class));" is 164.,45
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_Pagination,Magic Number,The method contains a magic number: 10,45
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_Pagination,Magic Number,The method contains a magic number: 10,45
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_Pagination,Magic Number,The method contains a magic number: 5,45
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_Qualifier,Long Statement,The length of the statement "SelectContext<E1> c=new SelectContext<>(E1.class`new RequestSchema(mock(AgSchema.class))`mock(AgRequestBuilder.class)`PathChecker.ofDefault()`mock(Injector.class));" is 164.,84
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_ById,Long Statement,The length of the statement "SelectContext<E1> c=new SelectContext<>(E1.class`new RequestSchema(mock(AgSchema.class))`mock(AgRequestBuilder.class)`PathChecker.ofDefault()`mock(Injector.class));" is 164.,106
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_ById_WithQuery,Long Statement,The length of the statement "SelectContext<E1> c=new SelectContext<>(E1.class`new RequestSchema(mock(AgSchema.class))`mock(AgRequestBuilder.class)`PathChecker.ofDefault()`mock(Injector.class));" is 164.,123
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler_StaticsTest,consumeRangeIterator_Offset_Limit,Magic Number,The method contains a magic number: 2,31
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler_StaticsTest,consumeRangeList_Offset_Limit,Magic Number,The method contains a magic number: 2,68
agrest,io.agrest.cayenne.processor.delete.stage,CayenneDeleteMapChangesStage,findByParent,Long Statement,The length of the statement "return ObjectSelect.query(context.getType()).where(CayenneUtil.parentQualifier(pathResolver`context.getSchema().getEntity(parent.getType())`parent`cayenneContext.getEntityResolver())).select(CayenneDeleteStartStage.cayenneContext(context));" is 240.,92
agrest,io.agrest.cayenne.processor.delete.stage,CayenneDeleteStartStage,cayenneContext,Long Identifier,The length of the field DELETE_OBJECT_CONTEXT_ATTRIBUTE is 31.,18
agrest,io.agrest.cayenne.processor.delete.stage,CayenneDeleteStartStage,initCayenneContext,Long Identifier,The length of the field DELETE_OBJECT_CONTEXT_ATTRIBUTE is 31.,42
agrest,io.agrest.cayenne.processor.select,ContextualCayenneRelatedDataResolver,pickResolver,Long Statement,The length of the statement "throw AgException.internalServerError("Parent entity '%s' of entity '%s' is not managed by the Cayenne backend"`parentEntity.getName()`entity.getName());" is 153.,44
agrest,io.agrest.cayenne.processor.select,ContextualCayenneRelatedDataResolver,preferIdsResolver,Magic Number,The method contains a magic number: 5000,62
agrest,io.agrest.cayenne.processor.select,ViaParentPrefetchResolver,addRelatedPrefetch,Long Statement,The length of the statement "throw AgException.internalServerError("Entity '%s' is not handled by Cayenne. Can not use prefetch resolver for path '%s'"`entity.getAgEntity().getName()`path);" is 160.,56
agrest,io.agrest.cayenne.processor.select,ViaParentPrefetchResolver,addRootPrefetch,Long Statement,The length of the statement "throw AgException.internalServerError("Entity '%s' is not handled by Cayenne. Can not use prefetch resolver for path '%s'"`entity.getAgEntity().getName()`path);" is 160.,80
agrest,io.agrest.cayenne.processor.select,ViaParentPrefetchResolver,addRootPrefetch,Long Statement,The length of the statement "throw AgException.internalServerError("Can't add prefetch to root entity '%s' that has no query of its own. Path: %s"`entity.getAgEntity().getName()`path);" is 155.,80
agrest,io.agrest.cayenne.processor.select,ViaParentPrefetchResolver,iterableData,Long Statement,The length of the statement "return entity.getIncoming().isToMany() ? () -> new ToManyFlattenedIterator<>(parentData.iterator()`reader) : () -> new ToOneFlattenedIterator<>(parentData.iterator()`reader);" is 174.,112
agrest,io.agrest.cayenne.processor.select,ViaQueryWithParentExpResolver,dataReader,Long Statement,The length of the statement "return entity instanceof ToManyResourceEntity ? new ToManyEntityResultReader((ToManyResourceEntity)entity`parentIdReader) : new ToOneEntityResultReader((ToOneResourceEntity<?>)entity`parentIdReader);" is 199.,73
agrest,io.agrest.cayenne.processor.select,ViaQueryWithParentExpResolver,indexResultByParentId,Magic Number,The method contains a magic number: 2,85
agrest,io.agrest.cayenne.processor.unrelate.stage,CayenneUnrelateDataStoreStage,unrelateAll,Long Statement,The length of the statement "@SuppressWarnings("unchecked") Collection<DataObject> relatedCollection=new ArrayList<>((Collection<DataObject>)parent.readProperty(relationship.getName()));" is 157.,93
agrest,io.agrest.cayenne.processor.unrelate.stage,CayenneUnrelateStartStage,cayenneContext,Long Identifier,The length of the field UNRELATE_OBJECT_CONTEXT_ATTRIBUTE is 33.,18
agrest,io.agrest.cayenne.processor.unrelate.stage,CayenneUnrelateStartStage,execute,Long Identifier,The length of the field UNRELATE_OBJECT_CONTEXT_ATTRIBUTE is 33.,32
agrest,io.agrest.cayenne.processor.update.stage,CayenneCreatedOrOkResponseStage,getHttpStatus,Long Statement,The length of the statement "return !ops.get(ChangeOperationType.CREATE).isEmpty() && ops.get(ChangeOperationType.UPDATE).isEmpty() && ops.get(ChangeOperationType.DELETE).isEmpty() ? HttpStatus.CREATED : HttpStatus.OK;" is 189.,17
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapIdempotentFullSyncStage,existingObjects,Long Statement,The length of the statement "Expression rootQualifier=parent != null ? CayenneUtil.parentQualifier(pathResolver`context.getSchema().getEntity(parent.getType())`parent`entityResolver) : null;" is 161.,70
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapIdempotentFullSyncStage,existingObjects,Long Statement,The length of the statement "throw AgException.internalServerError("Found more than one object for ID '%s' and entity '%s'"`context.getId()`context.getEntity().getName());" is 142.,70
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,collectCreateOps,Long Statement,The length of the statement "throw AgException.notFound("No object for ID '%s' and entity '%s'"`updateMap.getIds().iterator().next()`context.getEntity().getName());" is 135.,95
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,mutableUpdatesByKey,Magic Number,The method contains a magic number: 0.75,119
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,existingObjects,Long Statement,The length of the statement "throw AgException.internalServerError("Found more than one object for ID '%s' and entity '%s'"`context.getId()`context.getEntity().getName());" is 142.,145
agrest,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,buildRelatedQuery,Long Statement,The length of the statement "ColumnSelect<Object[]> query=ObjectSelect.query(entity.getType()).where(translateExpressionToSource(incomingObjRelationship`parentQualifier)).columns(queryAssembler.queryColumns(entity));" is 187.,208
